"","stationcode","latitude","longitude"
"148","907M23367",32.96335,-116.66364
"149","907S00577",33.0767,-116.67455
"150","907S01418",32.99254,-116.71771
"151","907S01434",32.90475,-116.62501
"152","907S01610",32.96675,-116.65275
"153","907S03210",33.00312,-116.72918
"154","907S03786",32.89421,-116.65844
"155","909M24925",32.83848,-116.63814
"156","909M24937",32.81935,-116.70775
"157","909SSWR03",32.83521,-116.62203
"158","909WE0662",32.89957,-116.58789
"159","909WE0780",32.92981,-116.55901
"160","911S00538",32.78123,-116.63207
"161","911S00858",32.90282,-116.49337
"162","911S01142",32.73547,-116.65268
"163","911S01818",32.86215,-116.52037
"164","911S02058",32.76142,-116.64257
"165","911S03354",32.79112,-116.61677
"166","911S04086",32.67454,-116.57777
"167","LALT501",34.08009,-118.22419
"168","SGLT506",34.06173,-117.99129
"169","SGUR010",34.19498,-117.86114
"170","SGUR103",34.23218,-118.05822
"171","SGUT501",34.2408,-117.8833
"172","SGUT502",34.2283,-117.76593
"173","SGUT503",34.29216,-117.83856
"174","SGUT504",34.2377,-117.8203
"175","SGUT505",34.16939,-117.88932
"176","SMC00080",34.32909,-118.08188
"177","SMC00105",33.74651,-117.58423
"178","SMC00198",32.93709,-117.13851
"179","SMC00271",34.5485,-119.16547
"180","SMC00282",32.8718,-116.61357
"181","SMC00288",34.13118,-117.76
"182","SMC00318",33.81287,-118.20558
"183","SMC00382",34.04437,-117.99413
"184","SMC00428",34.2481,-118.04976
"185","SMC00436",34.149,-118.27863
"186","SMC00464",34.24152,-117.86683
"187","SMC00476",34.24209,-118.13381
"188","SMC00479",34.2634,-119.24095
"189","SMC00480",34.23434,-117.73155
"190","SMC00520",34.29626,-118.28252
"191","SMC00544",34.14677,-117.74153
"192","SMC00608",34.12344,-117.90223
"193","SMC00632",34.14874,-118.55604
"194","SMC00684",34.09698,-118.02373
"195","SMC00710",32.88934,-117.20028
"196","SMC00748",34.07548,-118.0788
"197","SMC00827",34.55734,-119.18833
"198","SMC00873",33.59849,-117.62668
"199","SMC00899",33.71747,-117.7888
"200","SMC00911",34.50797,-119.29854
"201","SMC00924",34.22394,-118.18053
"202","SMC00957",33.96195,-117.37075
"203","SMC00958",33.82532,-117.99894
"204","SMC01040",34.30553,-118.15792
"205","SMC01046",32.79509,-117.18494
"206","SMC01096",34.28465,-118.29343
"207","SMC01155",33.7606,-117.67949
"208","SMC01161",33.44661,-117.25532
"209","SMC01172",34.0816,-118.85826
"210","SMC01196",34.27835,-118.02952
"211","SMC01215",34.33968,-119.06784
"212","SMC01248",34.25895,-117.74499
"213","SMC01257",33.60842,-117.61859
"214","SMC01260",34.06502,-117.97473
"215","SMC01320",34.29856,-118.25082
"216","SMC01341",33.94614,-117.5621
"217","SMC01358",33.90965,-118.24673
"218","SMC01413",33.30552,-116.80627
"219","SMC01424",34.24075,-117.81585
"220","SMC01452",34.09095,-118.06675
"221","SMC01454",33.95504,-117.86127
"222","SMC01504",34.25327,-117.71385
"223","SMC01544",34.29729,-118.24843
"224","SMC01550",34.05626,-118.84901
"225","SMC01567",34.50959,-119.38373
"226","SMC01606",32.84198,-117.23481
"227","SMC01640",34.15335,-118.69679
"228","SMC01656",34.15633,-118.53627
"229","SMC01662",33.9248,-117.95665
"230","SMC01692",34.19798,-118.16972
"231","SMC01694",33.92,-117.90272
"232","SMC01726",33.86351,-117.98816
"233","SMC01748",34.28747,-118.82744
"234","SMC01772",34.11001,-118.1228
"235","SMC01808",34.3094,-118.07316
"236","SMC01860",34.224,-118.97911
"237","SMC01912",34.23429,-118.60295
"238","SMC01934",33.49,-117.66595
"239","SMC01960",34.26554,-118.75916
"240","SMC01987",33.59028,-117.71185
"241","SMC01990",32.79653,-117.11327
"242","SMC02028",34.12868,-118.16553
"243","SMC02075",34.6719,-119.03758
"244","SMC02088",34.30226,-118.25959
"245","SMC02092",34.27948,-118.20684
"246","SMC02139",34.6714,-119.01717
"247","SMC02152",34.09801,-118.7217
"248","SMC02206",33.87098,-117.85002
"249","SMC02228",34.06933,-118.22427
"250","SMC02270",33.79573,-117.77241
"251","SMC02302",33.8153,-118.04128
"252","SMC02436",34.26279,-118.97199
"253","SMC02536",34.26861,-118.6736
"254","SMC02568",34.27866,-118.22031
"255","SMC02591",34.51783,-119.37846
"256","SMC02712",34.36179,-118.30348
"257","SMC02884",34.21749,-118.98533
"258","SMC02902",32.94907,-117.06443
"259","SMC02972",34.24957,-118.0755
"260","SMC02984",34.26528,-118.75053
"261","SMC03011",33.6145,-117.6955
"262","SMC03216",34.28092,-117.84093
"263","SMC03268",34.16255,-119.06301
"264","SMC03280",34.25685,-117.85652
"265","SMC03304",34.28829,-118.72312
"266","SMC03438",33.93708,-117.79252
"267","SMC03523",33.58478,-117.66437
"268","SMC03944",34.14271,-118.75016
"269","SMC03984",34.24613,-117.90186
"270","SMC04000",34.23282,-117.74777
"271","SMC04008",34.28342,-118.80803
"272","SMC04175",34.40835,-119.27642
"273","SMC04204",34.20358,-118.01853
"274","SMC04239",34.3608,-119.31114
"275","SMC04264",34.13,-118.7548
"276","SMC04294",32.93776,-117.14172
"277","SMC04308",34.19349,-118.9083
"278","SMC04383",34.50224,-119.35602
"279","SMC04426",33.00696,-116.66995
"280","SMC04682",32.97115,-116.64814
"281","SMC04749",33.85826,-117.21321
"282","SMC04750",34.041,-118.58149
"283","SMC04756",34.27092,-118.9269
"284","SMC04806",32.89036,-117.19358
"285","SMC04880",34.30884,-118.09829
"286","SMC05146",32.84526,-116.61346
"287","SMC05199",34.40412,-119.28071
"288","SMC05230",33.87308,-117.75077
"289","SMC05296",34.55457,-118.77525
"290","SMC05402",32.80468,-116.57311
"291","SMC05702",32.83209,-117.22954
"292","SMC05759",34.35232,-119.03474
"293","SMC05902",34.03432,-118.51218
"294","SMC05956",34.22875,-118.97109
"295","SMC06079",34.41108,-119.08213
"296","SMC06216",34.27407,-118.31518
"297","SMC06298",32.91213,-116.57126
"298","SMC06302",33.86699,-117.85366
"299","SMC06356",34.20156,-118.91158
"300","SMC06467",33.79118,-117.71782
"301","SMC06740",34.1807,-118.87436
"302","SMC06794",32.83039,-116.64687
"303","SMC06863",34.49417,-119.30534
"304","SMC06918",32.78184,-117.184
"305","SMC06926",34.04799,-118.51137
"306","SMC07126",32.84359,-117.03457
"307","SMC08094",33.81951,-117.8536
"308","SMC08150",32.83731,-117.01975
"309","SMC08655",34.50823,-119.28406
"310","SMC08766",33.90192,-118.10859
"311","SMC08845",33.87309,-117.21355
"312","SMC09118",33.80876,-117.86259
"313","SMC09286",32.78194,-117.11419
"314","SMC09325",33.56252,-117.12886
"315","SMC09503",34.49757,-119.33913
"316","SMC09534",33.83832,-118.09487
"317","SMC10685",34.01879,-117.36873
"318","SMC11343",34.3728,-119.30859
"319","SMC11384",34.09552,-118.66521
"320","SMC11727",34.47857,-119.29339
"321","SMC12814",34.04892,-118.84641
"322","SMC12862",33.92148,-118.11149
"323","SMC13062",32.7755,-117.19557
"324","SMC13214",33.80453,-117.87242
"325","SMC13599",34.49889,-119.34172
"326","SMC13630",33.86119,-118.10351
"327","SMC14099",33.62772,-117.73558
"328","SMC15678",33.80989,-118.09075
"329","SMC16446",34.41319,-119.27282
"330","SMC16832",33.88444,-118.10855
"331","SMC16980",34.43268,-119.24974
"332","SMC18545",34.48452,-119.30834
"333","SMC19809",34.50141,-119.3531
"334","SMC19945",34.50486,-119.28186
"335","SMC20032",33.87664,-118.10774
"336","SMC20994",34.03639,-118.51129
"337","SMC21796",33.99108,-118.40916
"338","SMC21822",33.87234,-117.70876
"339","SMC24222",33.87151,-117.71724
"340","SMC29064",33.79564,-116.7426
"341","SMC32897",33.86921,-117.21318
"342","SMC34888",33.77386,-117.68432
"343","SMC35837",33.7364,-116.8261
"344","SMC40887",33.76317,-117.46378
"345","SMCR8_007",34.0952,-116.96447
"346","SMCR8_011",33.850751,-117.7835252
"347","SMCR8_012",33.91909,-117.82201
"348","SMCR8_019",33.92417,-117.59778
"349","SMCR8_020",33.76698,-116.6902
"350","SMCR8_025",34.1739,-116.9839
"351","SMCR8_028",34.2026,-117.44583
"352","SMCR8_034",34.08909,-116.92669
"353","SMCR8_035",34.08193,-116.89027
"354","SMCR8_042",33.94623,-117.61423
"355","SMCR8_046",33.79096,-117.71949
"356","SMCR8_048",33.71756,-117.78945
"357","SMCR8_057",34.25033,-117.54376
"358","SMCR8_062",34.21257,-117.45844
"359","SMCR8_069",34.2481,-117.51276
"360","SMCR8_070",33.77122,-116.7675
"361","SMCR8_074",34.08167,-116.8887
"362","SMCR8_080",34.1584,-116.88742
"363","SMCR8_105",34.25265,-117.4925
"364","SMCR8_106",34.15508,-116.88528
"365","SMCR8_147",33.79427,-116.74714
"366","SMCR8_151",33.98873,-117.39614
"367","SMCR8_155",33.80703,-116.77699
"368","SMCR8_160",33.73134,-116.8102
"369","SMCR8_163",33.79478,-116.74829
"370","SMCR8_172",33.78651,-116.8323
"371","SMCR8_203",34.18658,-116.91801
"372","SMCR8_218",33.80978,-116.7403
"373","SMCR8_219",34.11105,-116.99195
"374","SMCR8_267",33.67606,-116.67871
"375","SMCR8_270",33.72944,-116.74809
"376","SMCR8_272",34.08788,-116.91434
"377","SMCR8_346",34.23613,-117.49604
"378","SMCR8_351",33.97295,-117.51806
"379","SMCR8_361",33.96825,-117.44789
"380","SMCR8_362",34.23904,-117.49896
"381","SMCR8_370",34.10015,-117.02393
"382","SMCR8_375",33.75657,-116.70164
"383","SMCR8_419",33.74266,-116.71364
"384","SMCR8_446",34.18543,-117.18567
"385","SMCR8_453",33.73882,-116.82834
"386","SMCR8_474",34.24826,-117.62775
"387","SMCR8_480",33.80402,-118.08385
"388","SMCR8_496",33.68738,-116.68416
"389","SMCR8_513",33.71777,-116.76274
"390","SMCR8_528",33.87273,-117.71305
"391","SMCR8_530",34.17834,-116.90881
"392","SMCR8_543",33.80281,-116.73208
"393","SMCR8_587",33.72206,-116.80423
"394","SMCR8_605",33.73776,-116.72825
"395","SMCR8_635",33.80349,-116.78271
"396","SMCR8_688",33.75289,-116.70609
"397","SMCR8_713",34.24908,-117.63127
