"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"102","412WE0552","412WE0552_08022018_BMI_RWB_1","8/2/18",0.93327878,0.57819127,0.75573503,34.23908,-118.18059,-9,0,0.01,-2,-6,0.331,0,0.0642,-43,0.6667,0.0097,0,-9,0,0.2,-4
"103","412WE0563","412WE0563_06212001_BMI_CSBP_Trans_1","6/21/01",1.24511685,1.0295481,1.13733248,34.34716,-118.04869,-1,0,0,-8,NA,NA,NA,0,-10,0,0,0,0,0,0,0
"104","412WE0896","412WE0896_09022015_BMI_RWB_1","9/2/15",0.99087917,0.77948508,0.88518212,34.28771,-118.23008,-2,-0.0065,-1e-04,-0.5,-0.5,1.4814,-1.5,-0.0233,-1,-0.088,0,0,-3,-0.03165,0.17435,0
"105","481S05856","481S05856_06132013_BMI_RWB_1","6/13/13",1.33319724,1.1046872,1.21894222,34.19152,-117.67601,NA,NA,NA,0,NA,NA,NA,0.3413,0,-0.0853,0,0,1,0.7644,-0.0611,-1
"106","722PS0535","722PS0535_04082015_BMI_RWB_1","4/8/15",1.16765702,0.61824308,0.89295005,33.36921,-116.42223,0,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0
"107","722PS0611","722PS0611_06082010_BMI_RWB_1","6/8/10",0.58976735,0.67270937,0.63123836,33.11256,-116.4447,NA,NA,NA,0,NA,NA,NA,1.3953,0,-0.0141,0,0,0,0.1656,-0.76385,0
"108","801CE0152","801CE0152_07202005_BMI_RWB_1","7/20/05",1.19958438,0.90088726,1.05023582,34.18783,-117.1803,-9,-0.0027,-0.0035,-2,NA,NA,NA,0.0466,-2,0.0529,0,-1,-13,-0.021,0.0352,-1
"109","801LYC271","801LYC271_06102014_BMI_RWB_1","6/10/14",1.09673446,0.80212795,0.94943121,34.22931,-117.47362,0,-0.00495,-0.0209,0,NA,NA,NA,1.0455,0,-0.1246,-2e-04,0,-4,2e-04,0.0037,-18
"110","801MIC042","801MIC042_06092014_BMI_RWB_1","6/9/14",0.39845887,0.41813884,0.40829885,33.94623,-117.61423,175,-0.7528,-0.63245,-95.5,NA,NA,NA,175.2174,-99.5,85.237,-1e-04,116,-15,-1.1986,-1.2777,-118
"111","801RB8361","801RB8361_06122014_BMI_RWB_MCM_1","6/12/14",0.94115258,0.6633591,0.80225584,33.96825,-117.44789,NA,NA,NA,88,NA,NA,NA,-238.4059,NA,NA,NA,NA,NA,NA,NA,-16
"112","801RB8501","801RB8501_06182013_BMI_RWB_1","6/18/13",1.12350903,0.71801694,0.92076299,34.09189,-116.94243,2,0.1,0.1,0,NA,NA,NA,0,-50,0,0,0,-2,0,0,1
"113","801S08727","801S08727_06052013_BMI_RWB_1","6/5/13",1.04471789,0.93890552,0.9918117,34.2171,-117.46178,2,0.1,0.1,12,NA,NA,NA,0,12,0,-0.02,0,-2,0,0,2
"114","801WE0550","801WE0550_06272000_BMI_CSBP_Trans_1","6/27/00",1.18741016,1.17019451,1.17880233,34.16471,-116.97444,-1,-0.03935,-0.0424,0,0,0.0404,0,0.4347,0,-0.5431,0,0,0,-0.0383,-0.04785,0
"115","801WE0669","801WE0669_06262001_BMI_CSBP_Trans_1","6/26/01",1.21608202,1.25837704,1.23722953,34.23169,-116.99915,-14,0,-1.2235,-57,NA,NA,NA,34.5351,-61,29.9225,-0.0152,0,-1,-0.23,-2.07,-15
"116","801WE0674","801WE0674_05142013_BMI_RWB_1","5/14/13",1.21294887,1.16850057,1.19072472,34.17617,-116.9839,-1,0,0,-7,NA,NA,NA,0,-4,0,0,0,0,0,0,0
"117","801WE0989","801WE0989_06182002_BMI_RWB_1","6/18/02",0.8697001,0.62846723,0.74908367,33.91889,-117.60776,22,0,0.275,-27.5,NA,NA,NA,1266.49665,-26.5,666.54615,0.0728,0,1.5,-2.1,0.8,0.5
"118","801WE1008","801WE1008_06292016_BMI_RWB_1","6/29/16",0.89480661,0.7446729,0.81973976,34.18128,-116.91197,2,0.1,0.1,12,NA,NA,NA,0,12,0,-0.02,0,-2,0,0,2
"119","801WE1013","801WE1013_05152002_BMI_RWB_1","5/15/02",1.1699735,0.9501494,1.06006145,34.10098,-117.01071,-1,-0.055,-0.0107,0,NA,NA,NA,0.0415,-1,-0.02515,0,0,-1,-0.0099,-0.1064,0
"120","801WE1020","801WE1020_06142005_BMI_CSBP_Comp_1","6/14/05",0.62480521,1.03102943,0.82791732,34.25257,-117.53174,0,0,0,0,NA,NA,NA,-1e-04,0,0,0,0,0,0,0,0
"121","801WE1032","801WE1032_06042002_BMI_RWB_1","6/4/02",0.65599068,0.62548919,0.64073994,33.96165,-117.50039,NA,NA,NA,66,NA,NA,NA,819.6021,66,519.521,0.1027,-1,8,1.1192,42.5016,-9
"122","801WE1043","801WE1043_05012007_BMI_TRC_1","5/1/07",0.84428889,1.15130685,0.99779787,34.17289,-117.18064,-4,-0.0272,-0.0324,0,-1,5.4104,-1,0.20305,0,0.1621,0,-1,-2,-0.0149,-0.034,-9
"123","801WE1127","801WE1127_06132002_BMI_RWB_1","6/13/02",1.14004617,1.24086963,1.1904579,34.18401,-117.25876,-2,-0.0113,-0.0068,-8,2.5,-8.5146,-19,0.1204,-6,0.3671,0,-1,-6,-0.0092,0.00075,-1
"124","801WE1132","801WE1132_04202015_BMI_RWB_1","4/20/15",1.11545892,1.14749908,1.131479,34.13332,-116.84289,5,0,0,-47,NA,NA,NA,0.0011,-47,0.0016,-2e-04,0,0,0,0,0
"125","802SJR116","802SJR116_06122014_BMI_RWB_1","6/12/14",0.87349684,0.39144727,0.63247206,33.66396,-117.2787,158,1.7372,4.0951,-38,NA,NA,NA,720.7063,-38,450.2389,0,92,5,-0.2299,-5.445,-5
"126","802WE0539","802WE0539_07192000_BMI_RWB_1","7/19/00",0.88644814,0.89855991,0.89250403,33.77174,-116.7696,-1,-7e-04,-0.0012,-1,0,0.11045,0,-0.00315,0,-0.0034,0,0,-1,-0.0016,-0.00655,0
"127","802WE0658","802WE0658_04212015_BMI_RWB_1","4/21/15",1.01523621,0.89775454,0.95649537,33.79824,-116.74831,-2,-0.0016,-0.0034,0,2,0.5033,0,0.01345,-1,-0.0031,0,0,-1,-0.00525,-0.01605,-2
"128","802WE0794","802WE0794_05102001_BMI_RWB_1","5/10/01",0.93697443,0.82507825,0.88102634,33.72962,-116.6735,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0
"129","901DCCSMC","901DCCSMC_05162011_BMI_RWB_1","5/16/11",1.17584545,1.08280734,1.1293264,33.47303,-117.4659,0,-0.0066,0.0157,0,NA,NA,NA,-0.6394,0,0.313,0,-1,-1,0.1252,-0.0424,0
"130","901S00313","901S00313_04302009_BMI_RWB_1","4/30/09",0.78222348,0.5596484,0.67093594,33.60642,-117.44623,-7,0.01,0.01,-2,0,0.2256,0,0,26,0,-0.0298,-29,-29,-1.09,-1.3,-8
"131","901S00997","901S00997_05142009_BMI_RWB_1","5/14/09",0.56525695,0.3720908,0.46867387,33.44002,-117.61937,-47,0.003,0.0982,-34,NA,NA,NA,18.8374,-61,2.7847,0,73,105,0,-0.0181,-35
"132","901S01705","901S01705_05092017_BMI_RWB_1","5/9/17",1.07855517,0.89395534,0.98625526,33.60369,-117.51,0,-1e-04,-2e-04,0,NA,NA,NA,-2e-04,0,-0.0014,0,0,0,0,-0.0012,0
"133","901S01811","901S01811_05072009_BMI_RWB_1","5/7/09",0.89413886,0.43343419,0.66378652,33.56418,-117.71792,-28,0.0132,0.2217,-38,2,9.9151,-47,113.0292,-32,31.5052,0,34,63,0,0.5161,-20
"134","901S01849","901S01849_05102017_BMI_RWB_1","5/10/17",1.19172239,1.03686062,1.11429151,33.55523,-117.39779,-6,0.01,0.01,-2,NA,NA,NA,0,27,0,-0.0298,-29,-29,-1.09,1.5,0
